Age,Income,Number of Children,Credit Score,Gender_Female,Gender_Male,Education_Associate's Degree,Education_Bachelor's Degree,Education_Doctorate,Education_High School Diploma,Education_Master's Degree,Marital Status_Married,Marital Status_Single,Home Ownership_Owned,Home Ownership_Rented
25,50000.0,0,3.0,True,False,False,True,False,False,False,False,True,False,True
30,100000.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,75000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
40,125000.0,0,3.0,False,True,False,False,False,True,False,False,True,True,False
45,100000.0,3,3.0,True,False,False,True,False,False,False,True,False,True,False
50,150000.0,0,3.0,False,True,False,False,False,False,True,True,False,True,False
26,40000.0,0,2.0,True,False,True,False,False,False,False,False,True,False,True
31,60000.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
36,80000.0,2,3.0,True,False,False,False,False,False,True,True,False,True,False
36,105000.0,0,3.0,False,True,False,False,True,False,False,False,True,True,False
36,90000.0,1,3.0,True,False,False,False,False,True,False,True,False,True,False
36,135000.0,0,3.0,False,True,False,True,False,False,False,True,False,True,False
36,35000.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
36,55000.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
36,70000.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
36,95000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
36,85000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
36,125000.0,0,3.0,False,True,False,False,False,True,False,True,False,True,False
36,30000.0,0,1.0,True,False,True,False,False,False,False,False,True,False,True
36,50000.0,0,2.0,False,True,False,False,False,True,False,False,True,False,True
36,65000.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
43,80000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
48,70000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
53,115000.0,0,3.0,False,True,True,False,False,False,False,True,False,True,False
29,25000.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
34,45000.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
39,60000.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
44,75000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
49,65000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,55000.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,105000.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,80000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
40,130000.0,0,3.0,False,True,False,False,False,True,False,False,True,True,False
45,105000.0,3,3.0,True,False,False,True,False,False,False,True,False,True,False
50,155000.0,0,3.0,False,True,False,False,False,False,True,True,False,True,False
26,45000.0,0,2.0,True,False,True,False,False,False,False,False,True,False,True
31,65000.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
36,85000.0,2,3.0,True,False,False,False,False,False,True,True,False,True,False
41,110000.0,0,3.0,False,True,False,False,True,False,False,False,True,True,False
46,95000.0,1,3.0,True,False,False,False,False,True,False,True,False,True,False
51,140000.0,0,3.0,False,True,False,True,False,False,False,True,False,True,False
27,37500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
32,57500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
37,72500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
42,100000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
47,90000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
52,130000.0,0,3.0,False,True,False,False,False,True,False,True,False,True,False
28,32500.0,0,1.0,True,False,True,False,False,False,False,False,True,False,True
33,52500.0,0,2.0,False,True,False,False,False,True,False,False,True,False,True
38,67500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
43,92500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
48,82500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
53,122500.0,0,3.0,False,True,True,False,False,False,False,True,False,True,False
29,27500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
34,47500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
39,62500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
44,87500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
49,77500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,57500.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,112500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,85000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,60000.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,117500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,90000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
40,142500.0,0,3.0,False,True,False,False,False,True,False,False,True,True,False
45,110000.0,3,3.0,True,False,False,True,False,False,False,True,False,True,False
50,160000.0,0,3.0,False,True,False,False,False,False,True,True,False,True,False
26,47500.0,0,2.0,True,False,True,False,False,False,False,False,True,False,True
31,67500.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
36,90000.0,2,3.0,True,False,False,False,False,False,True,True,False,True,False
41,115000.0,0,3.0,False,True,False,False,True,False,False,False,True,True,False
46,97500.0,1,3.0,True,False,False,False,False,True,False,True,False,True,False
51,145000.0,0,3.0,False,True,False,True,False,False,False,True,False,True,False
27,37500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
32,57500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
37,75000.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
42,105000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
47,95000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
52,135000.0,0,3.0,False,True,False,False,False,True,False,True,False,True,False
28,32500.0,0,1.0,True,False,True,False,False,False,False,False,True,False,True
33,52500.0,0,2.0,False,True,False,False,False,True,False,False,True,False,True
36,67500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
36,92500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
36,85000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
36,125000.0,0,3.0,False,True,True,False,False,False,False,True,False,True,False
36,27500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
36,47500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
36,62500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
36,87500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
36,77500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
36,57500.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
36,112500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
36,85000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,62500.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,117500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,90000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
40,142500.0,0,3.0,False,True,False,False,False,True,False,False,True,True,False
45,115000.0,3,3.0,True,False,False,True,False,False,False,True,False,True,False
50,162500.0,0,3.0,False,True,False,False,False,False,True,True,False,True,False
26,50000.0,0,2.0,True,False,True,False,False,False,False,False,True,False,True
31,70000.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
36,95000.0,2,3.0,True,False,False,False,False,False,True,True,False,True,False
41,120000.0,0,3.0,False,True,False,False,True,False,False,False,True,True,False
46,102500.0,1,3.0,True,False,False,False,False,True,False,True,False,True,False
51,150000.0,0,3.0,False,True,False,True,False,False,False,True,False,True,False
27,37500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
32,57500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
37,77500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
42,110000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
47,97500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
52,137500.0,0,3.0,False,True,False,False,False,True,False,True,False,True,False
28,32500.0,0,1.0,True,False,True,False,False,False,False,False,True,False,True
33,52500.0,0,2.0,False,True,False,False,False,True,False,False,True,False,True
38,67500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
43,95000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
48,87500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
53,127500.0,0,3.0,False,True,True,False,False,False,False,True,False,True,False
29,27500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
34,47500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
39,62500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
44,87500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
49,77500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,57500.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,112500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,85000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
25,60000.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,117500.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,90000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
28,75000.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
33,82000.0,1,3.0,True,False,False,False,False,False,True,True,False,True,False
31,95000.0,0,3.0,False,True,False,False,True,False,False,False,True,False,True
26,55000.0,1,2.0,True,False,False,True,False,False,False,True,False,True,False
32,85000.0,0,3.0,False,True,False,False,False,False,True,False,True,False,True
29,68000.0,2,2.0,True,False,False,False,True,False,False,True,False,True,False
34,105000.0,1,3.0,False,True,False,True,False,False,False,True,False,False,True
25,55000.0,0,2.0,True,False,False,True,False,False,False,False,True,False,True
30,105000.0,2,3.0,False,True,False,False,False,False,True,True,False,True,False
35,80000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
40,130000.0,0,3.0,False,True,False,False,False,True,False,False,True,True,False
45,105000.0,3,3.0,True,False,False,True,False,False,False,True,False,True,False
50,155000.0,0,3.0,False,True,False,False,False,False,True,True,False,True,False
26,45000.0,0,2.0,True,False,True,False,False,False,False,False,True,False,True
31,65000.0,0,2.0,False,True,False,True,False,False,False,False,True,False,True
36,85000.0,2,3.0,True,False,False,False,False,False,True,True,False,True,False
36,110000.0,0,3.0,False,True,False,False,True,False,False,False,True,True,False
36,95000.0,1,3.0,True,False,False,False,False,True,False,True,False,True,False
36,140000.0,0,3.0,False,True,False,True,False,False,False,True,False,True,False
36,37500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
36,57500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
36,72500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
36,100000.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
36,90000.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
36,130000.0,0,3.0,False,True,False,False,False,True,False,True,False,True,False
28,32500.0,0,1.0,True,False,True,False,False,False,False,False,True,False,True
33,52500.0,0,2.0,False,True,False,False,False,True,False,False,True,False,True
38,67500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
43,92500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
48,82500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
53,122500.0,0,3.0,False,True,True,False,False,False,False,True,False,True,False
29,27500.0,0,1.0,True,False,False,False,False,True,False,False,True,False,True
34,47500.0,0,2.0,False,True,True,False,False,False,False,False,True,False,True
39,62500.0,2,3.0,True,False,False,True,False,False,False,True,False,True,False
44,87500.0,0,3.0,False,True,False,False,False,False,True,False,True,True,False
49,77500.0,1,3.0,True,False,False,False,True,False,False,True,False,True,False
